query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
why am i so tired,8100,43,0.44,0.07,informational,pillar-B,3,validated,medium,B spoke,pillar-B-hub-why-am-i-always-tired,published,dfs,4,spoke,medium,,,csv
fatigue,22200,63,1.61,0.04,informational,pillar-B,3,validated,medium,head term unrankable,,,dfs,4,spoke,medium,,,csv
tired all the time,9900,43,1.45,0.12,informational,pillar-B,3,validated,medium,B spoke,pillar-B-hub-why-am-i-always-tired,published,dfs,4,spoke,medium,,,csv
why am i tired all the time,5400,35,0.45,0.12,informational,pillar-B,4,validated,medium,B spoke,pillar-B-hub-why-am-i-always-tired,published,dfs,3,spoke,medium,,,csv
cause of tiredness and lack of energy,4400,67,0.87,0.08,informational,pillar-B,4,validated,medium,B spoke,,,dfs,2,spoke,medium,,,csv
extreme fatigue,4400,63,1.16,0.07,informational,pillar-B,4,validated,medium,B spoke,,,dfs,2,spoke,medium,,,csv
exhausted fatigue symptoms,6600,,1.6,0.01,informational,pillar-B,4,validated,medium,B spoke,,,dfs,3,spoke,medium,Y,MIXED,csv
blood test for fatigue,720,0,0,0,commercial,pillar-B,3,validated,medium,B spoke + LP-grade,,,dfs,6,commercial,medium,,,backlog+csv
blood test for tiredness,720,0,0,0,commercial,pillar-B,3,validated,medium,B spoke very easy KD,,,dfs,6,commercial,medium,,,backlog+csv
supplements for tiredness,1300,9,0.93,1,commercial,pillar-B,3,validated,medium,Daily Stack funnel,,,dfs,5,spoke,medium,,,csv
best supplements for energy,880,9,1.28,1,commercial,pillar-B,3,validated,medium,Daily Stack funnel,,,dfs,5,spoke,medium,,,csv
testosterone test uk,1900,0,0,0,commercial,pillar-C,3,validated,high,C.hub,,,dfs,5,spoke,gate,,,backlog+csv
low testosterone symptoms in men,0,62,0,0,informational,pillar-C,4,validated,high,C.1,,,dfs,0,spoke,gate,,,csv
symptoms of low testosterone in men,0,62,0,0,informational,pillar-C,4,validated,high,C.2,,,dfs,0,spoke,gate,,,csv
testosterone blood test,3600,8,0,0,commercial,pillar-C,2,validated,high,C.3,,,dfs,7,commercial,gate,Y,CONTESTED,backlog+csv
low testosterone symptoms,0,67,0,0,informational,pillar-C,4,validated,high,broad variant; ranks for C.1,,,dfs,0,spoke,gate,,,csv
testosterone test,22200,8,0,0,commercial,pillar-C,2,validated,high,head term,,,dfs,9,commercial,gate,Y,CONTESTED,backlog+csv
testosterone,0,100,0,0,informational,pillar-C,4,validated,high,root term,,,dfs,0,spoke,gate,,,csv
how to increase testosterone,14800,29,0.78,1,commercial,pillar-C,3,validated,high,commercial trap supplement SERPs,,,dfs,5,spoke,gate,,,csv
how to enhance testosterone,14800,29,0.78,1,commercial,pillar-C,3,validated,high,commercial trap,,,dfs,5,spoke,gate,,,csv
how to boost testosterone,6600,26,0.87,1,commercial,pillar-C,3,validated,high,commercial trap,,,dfs,4,spoke,gate,,,csv
best testosterone test uk,0,0,0,0,commercial,pillar-C,3,validated,high,LP-grade,,,dfs,5,commercial,gate,,,csv
best testosterone booster uk,1900,14,0.99,1,commercial,pillar-C,3,validated,very-high,commercial supplement do not target,,,dfs,4,spoke,gate,,,csv
testosterone levels by age,390,1,2.53,0.15,informational,pillar-C,3,validated,medium,Semrush KD64 BUT DFS 2026-06-18 vol390/KD1 (re-rank: winnable); myth-of-normal-range re-opt target,pillar-C-spoke-myth-of-normal-range,published,dfs,4,spoke,gate,,,csv
testosterone hair loss,210,15,3.68,0.48,informational,pillar-C,4,validated,medium,C spoke + hair-loss crossover,,,dfs,3,spoke,gate,,,csv
does testosterone cause hair loss,1300,0,6,0.01,informational,pillar-C,3,validated,medium,C spoke + hair-loss crossover,,,dfs,5,spoke,gate,,,csv
low testosterone hair loss,140,4,3.94,0.51,informational,pillar-C,3,validated,medium,C spoke + hair-loss crossover,,,dfs,4,spoke,gate,,,csv
hair loss vitamin deficiency,590,4,0.9,0.9,informational,pillar-A,3,validated,medium,A spoke + hair-loss easy win KD 10,,,dfs,5,spoke,medium,,,csv
dht hair loss,720,10,1.86,1,informational,pillar-C,3,validated,medium,C spoke; high CPC commercial,,,dfs,5,spoke,medium,,,csv
testosterone supplements uk,1000,2,1.49,1,commercial,pillar-C,3,validated,very-high,commercial trap,,,dfs,5,spoke,gate,,,csv
crp blood test,27100,7,0.39,0.19,commercial,pillar-D,1,validated,low,D.hub UNDERSERVED HEAD TERM - SERP = US authorities (Mayo Cleveland WebMD) + NHS regional zero UK men-specialist - biggest opportunity in plan,pillar-D-hub-crp-blood-test,published,dfs,10,commercial,low,Y,MIXED,backlog+csv
fbc blood test,18100,9,1.17,0.42,commercial,pillar-D,1,validated,low,D.1,fbc-blood-test,drafted,dfs,9,commercial,low,Y,MIXED,csv
cholesterol test,9900,26,0.55,1,commercial,pillar-I,3,validated,medium,DFS KD26 (Semrush 48); reassigned D->I 2026-06-18 Option A cardiometabolic hub anchor; ApoB-led,pillar-I-hub-cholesterol-test,briefed,dfs,6,commercial,medium,,,csv
full blood count,8100,26,1.18,0.44,informational,pillar-D,3,validated,low,D.3,,,dfs,5,spoke,low,,,csv
nhs blood test,0,8,0,0,commercial,pillar-D,3,validated,low,D.4 starred low KD,,,dfs,5,commercial,low,,,csv
crp levels,6600,46,0.27,0.05,informational,pillar-D,4,validated,low,D.5,,published,dfs,2,spoke,low,,,csv
crp test,6600,10,0.48,0.41,commercial,pillar-D,2,validated,low,D spoke,,published,dfs,7,commercial,low,Y,CONTESTED,backlog+csv
blood test results explained,720,19,0.51,0.02,informational,pillar-D,3,validated,low,D spoke,,,dfs,5,commercial,low,,,csv
how to read blood test results,720,3,0.35,0.03,informational,pillar-D,3,validated,low,D spoke,,,dfs,5,spoke,low,,,csv
blood test,49500,10,1.84,0.86,informational,pillar-D,4,validated,low,root term head,,,dfs,10,commercial,low,Y,NHS-NAV,csv
esr blood test,12100,34,0.81,0.03,commercial,pillar-D,3,validated,low,D spoke,,,dfs,5,commercial,low,,,csv
b12 blood test,3600,12,0.82,0.96,commercial,pillar-D,3,validated,low,D spoke marker LP-grade,b12-blood-test,drafted,dfs,6,commercial,low,,,csv
ferritin blood test,8100,12,1,0.9,commercial,pillar-D,2,validated,low,D spoke marker very high vol,ferritin-blood-test,drafted,dfs,8,commercial,low,Y,MIXED,csv
ferritin test uk,140,0,0.94,1,commercial,pillar-D,3,validated,low,D spoke marker very low KD,,,dfs,5,commercial,low,,,csv
ferritin levels,0,36,0.54,0.01,informational,pillar-D,4,validated,low,D spoke marker,,,dfs,1,spoke,low,,,csv
ferritin,27100,12,0.58,0.22,informational,pillar-D,3,validated,low,marker root term,,,dfs,6,spoke,low,n,CONTESTED,csv+backlog
serum ferritin,22200,19,0.73,0.01,informational,pillar-D,2,validated,low,D spoke clinical variant,,,dfs,8,spoke,low,Y,MIXED,csv
low iron symptoms,0,56,0,0,informational,pillar-D,4,validated,low,iron-deficiency adjacent,,,dfs,0,spoke,low,,,csv
iron deficiency symptoms,0,66,0,0,informational,pillar-D,4,validated,low,iron-deficiency adjacent,,,dfs,0,spoke,low,,,csv
men's health blood test,0,0,0,0,commercial,pillar-D,3,validated,low,UNDERSERVED lowest-KD in plan - SERP = thin commercial collection pages only zero content depth,,,dfs,5,commercial,low,,,csv
private blood test london,0,14,0,0,local,programmatic-cities,3,validated,low,city programmatic anchor,,,dfs,4,commercial,low,,,csv
private blood test manchester,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test birmingham,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test leeds,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test glasgow,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test edinburgh,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test bristol,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test liverpool,0,5,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test nottingham,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test cambridge,0,0,0,0,local,programmatic-cities,3,validated,low,city programmatic,,,dfs,5,commercial,low,,,csv
private blood test uk,590,0,0,0,commercial,programmatic-cities,3,validated,low,national parent,,,dfs,6,commercial,low,,,backlog+csv
at home blood test uk,390,0,1.65,1,commercial,lp-hormone-recovery,3,validated,low,reassigned from lp-foundations (route deleted 2026-05-26 51d6d20); broad national LP target for hormone-recovery survivor,,,dfs,5,commercial,low,,,csv
inflammatory markers blood test,2400,22,0.78,0.23,commercial,pillar-G,3,validated,medium,G.hub UNDERSERVED - SERP = clinical+academic+random NHS pages zero UK consumer specialist - easiest hub in plan,pillar-G-hub-inflammatory-markers-blood-test,published,dfs,5,commercial,medium,,,csv
inflammation in the body,2400,25,0.17,0.5,informational,pillar-G,3,validated,medium,G.1,,planned,dfs,4,spoke,medium,,,csv
inflammation blood test,0,36,0,0,commercial,pillar-G,4,validated,medium,G.2 UNDERSERVED - SERP = generic clinical + US authority sites no UK men-specialist,,planned,dfs,2,commercial,medium,,,csv
inflammation symptoms,880,46,0,0.01,informational,pillar-G,4,validated,medium,DFS 2026-06-20 vol880/KD46; broad symptom top-of-funnel; spoke candidate (off diagnostic-hub intent),,planned,dfs,1,spoke,medium,,,csv
what causes inflammation in the body,1900,31,0.11,0.11,informational,pillar-G,4,validated,medium,G.4,,planned,dfs,2,spoke,medium,,,csv
how to reduce inflammation,1300,48,0.22,0.99,informational,pillar-G,4,validated,high,G.5 high compliance risk,,planned,dfs,1,spoke,gate,,,csv
chronic inflammation,2900,46,0.24,0.06,informational,pillar-G,4,validated,medium,G spoke,,planned,dfs,2,spoke,medium,,,csv
inflammation,18100,68,0.93,0.05,informational,pillar-G,4,validated,medium,head term,,,dfs,3,spoke,medium,,,csv
what is inflammation,18100,68,0.15,0.01,informational,pillar-G,4,validated,medium,G spoke,,planned,dfs,3,spoke,medium,,,csv
how to reduce inflammation in the body,4400,49,0.22,1,informational,pillar-G,4,validated,high,G spoke compliance,,planned,dfs,2,spoke,gate,,,csv
inflammation diet,1900,49,0.32,1,informational,pillar-G,4,validated,medium,G spoke,,deferred,dfs,1,spoke,medium,,,csv
best supplements for inflammation,390,10,2.08,0.98,commercial,pillar-G,3,validated,medium,DFS 2026-06-20 vol390/KD10 winnable BUT best-supplements commercial intent = ASA/EFSA compliance risk (Ashwagandha rule); PARKED not a content target,,excluded,dfs,4,spoke,medium,,,csv
supplements for joint pain,1900,9,0.98,1,commercial,pillar-G,3,validated,medium,Collagen funnel,,planned,dfs,5,spoke,medium,,,csv
best supplements for recovery,260,2,1.81,1,commercial,pillar-G,3,validated,medium,Collagen + Daily Stack funnel,,,dfs,4,spoke,medium,,,csv
andropause,0,30,0,0,informational,pillar-E,4,validated,very-high,E.hub conditional pending Keith+Ewa,,,dfs,2,spoke,gate,,,csv
male menopause,0,29,0,0,informational,pillar-E,4,validated,very-high,E.1,,,dfs,2,spoke,gate,,,csv
male menopause symptoms,1600,22,0.53,0.1,informational,pillar-E,4,validated,very-high,E spoke,,,dfs,3,spoke,gate,,,csv
hypogonadism,0,52,0,0,informational,pillar-E,4,validated,very-high,E.2 clinical term,,,dfs,0,spoke,very-high,,,csv
trt uk,4400,54,3.57,0.87,commercial,pillar-E,3,validated,very-high,E spoke commercial TRT trap,,,legacy,,,,,,
trt therapy,5400,79,0,0,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
trt cost uk,590,41,1.92,0.99,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
trt clinic uk,260,60,0,0,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
private trt uk,140,43,3.02,0.99,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
testosterone replacement therapy uk,1000,53,0,0,commercial,pillar-E,3,validated,very-high,E spoke,,,legacy,,,,,,
low testosterone treatment uk,0,22,0,0,commercial,pillar-E,4,validated,very-high,E spoke,,,dfs,2,spoke,gate,,,csv
andropause treatment,170,10,2.03,0.99,commercial,pillar-E,3,validated,very-high,E spoke achievable KD,,,dfs,4,spoke,gate,,,csv
male hormone test uk,0,0,0,0,commercial,pillar-E,3,validated,high,E spoke,,,dfs,5,commercial,gate,,,csv
manopause,49500,10,0.74,0.32,informational,pillar-E,2,validated,very-high,E spoke alt term,,,dfs,7,spoke,gate,n,CONTESTED,csv
do men go through menopause,1600,,0.03,0.02,informational,pillar-E,3,validated,very-high,E FAQ,,,legacy,,,,,,
how to reduce crp level,390,0,0,0.01,informational,pillar-G,3,validated,high,G FAQ + compliance,,,dfs,4,spoke,gate,,,csv
how much crp level is dangerous,6600,10,0.27,0,informational,pillar-D,3,validated,low,D FAQ + spoke big win,,published,dfs,6,spoke,low,,,csv
what is crp blood test,27100,7,0.14,0.02,informational,pillar-D,1,validated,low,D FAQ,,published,dfs,10,commercial,low,Y,MIXED,backlog+csv
what is crp,3600,42,0.21,0.01,informational,pillar-D,4,validated,low,D FAQ root,,published,dfs,3,spoke,low,,,csv
what does crp mean in a blood test,880,42,0.1,0.02,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,3,commercial,low,,,csv
high crp meaning,1000,,0.2,0.01,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,1,spoke,low,,,csv
what infections cause high crp,880,9,0,0,informational,pillar-D,3,validated,medium,D FAQ medical caution,,published,dfs,5,spoke,medium,,,csv
what is normal crp level,720,,0,0.01,informational,pillar-D,4,validated,low,D FAQ,,published,dfs,1,spoke,low,,,csv
medichecks reviews,210,17,6.24,1,comparison,programmatic-compare,2,validated,medium,comparison page anchor,,,legacy,,,,,,
thriva reviews,480,29,1.42,0.51,comparison,programmatic-compare,2,validated,medium,comparison page,,,legacy,,,,,,
numan reviews,2400,26,10.3,1,comparison,programmatic-compare,2,validated,medium,comparison page; numan is weight-loss-led,,,legacy,,,,,,
manual reviews,590,0,3.16,0.28,comparison,programmatic-compare,3,validated,medium,comparison page,,,dfs,5,spoke,medium,,,csv
forth blood test,590,1,2.11,1,comparison,programmatic-compare,3,validated,medium,comparison page,,,dfs,6,commercial,medium,,,csv
bupa blood test,720,4,0.7,0.38,comparison,programmatic-compare,3,validated,medium,comparison page,,,dfs,6,commercial,medium,,,csv
nuffield blood test,140,32,1.21,0.72,comparison,programmatic-compare,3,validated,medium,comparison page,,,legacy,,,,,,
medichecks vs thriva,20,,0,0.84,comparison,programmatic-compare,3,validated,medium,head-to-head pattern; low vol,,,legacy,,,,,,
thriva vs medichecks,50,,1.63,0.72,comparison,programmatic-compare,3,validated,medium,head-to-head pattern,,,legacy,,,,,,
voy uk reviews,40,2,5.59,0.66,comparison,programmatic-compare,3,validated,medium,competitor brand,,,dfs,4,spoke,medium,,,csv
balance my hormones uk,40,22,3.07,0.66,comparison,programmatic-compare,4,validated,medium,competitor brand,,,dfs,2,spoke,medium,,,csv
optimale uk reviews,10,,0,0.14,comparison,programmatic-compare,4,validated,medium,competitor brand,,,dfs,0,spoke,medium,,,csv
balance my hormones reviews,140,0,6.16,0.14,comparison,programmatic-compare,3,validated,medium,competitor brand,,,dfs,4,spoke,medium,,,csv
blood test for hair loss,1000,0,1.8,0.95,commercial,programmatic-symptoms,3,validated,medium,UNDERSERVED men-specific gap - SERP mixed lab products + non-specialists (travel clinic NYU) - cross-pillar A+C+D anchor,,,dfs,6,commercial,medium,,,backlog+csv+backlog
hair loss vitamin deficiency,590,4,0.9,0.9,informational,programmatic-symptoms,3,validated,medium,duplicate row for symptom routing,,,dfs,5,spoke,medium,,,csv
reasons for hair loss in men,170,58,1.44,0.24,informational,programmatic-symptoms,4,validated,medium,hair-loss symptom,,,dfs,0,spoke,medium,,,csv
male hair thinning,2900,4,3.09,1,informational,programmatic-symptoms,3,validated,medium,hair-loss symptom,,,dfs,6,spoke,medium,,,csv
blood test for anxiety,0,3,0,0,commercial,programmatic-symptoms,3,validated,high,low vol; mental-health compliance,,,dfs,5,commercial,gate,,,csv
blood test for depression,90,19,2.2,0.05,commercial,programmatic-symptoms,3,validated,very-high,mental-health compliance; do not target,,,dfs,4,commercial,very-high,,,csv
blood test for insomnia,0,16,0,0,commercial,programmatic-symptoms,3,validated,medium,low vol,,,dfs,4,commercial,medium,,,csv
blood test for muscle loss,10,,0,0,commercial,programmatic-symptoms,4,validated,medium,low vol,,,dfs,1,commercial,medium,,,csv
blood test for stress,40,,0,0,commercial,programmatic-symptoms,4,validated,medium,low vol,,,dfs,1,commercial,low,,,csv
blood test for low energy,10,,1.37,0.99,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for brain fog,0,,0.8,0.48,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for low libido,0,,0,0,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for joint pain,10,,0,0,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for weight gain,10,,0,0,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for sore muscles,0,,0,0,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for sleep problems,0,,0,0,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
blood test for poor recovery,0,,,,commercial,programmatic-symptoms,3,dropped,medium,no demand drop,,,legacy,,,,,,
testosterone borderline range uk,0,,0,0,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
testosterone test at home uk,0,,0,0,commercial,dropped,3,dropped,medium,no demand drop,,,legacy,,,,,,
private testosterone blood test,20,,0,0,commercial,dropped,3,dropped,medium,low vol; superseded by C.hub,,,legacy,,,,,,
finger prick testosterone test,20,,0,0,commercial,dropped,3,dropped,medium,low vol; superseded,,,legacy,,,,,,
gp refused testosterone test,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
finger prick blood test uk,70,,0,0,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
blood test kit uk,30,,1.51,1,commercial,dropped,3,dropped,medium,low vol,,,legacy,,,,,,
private hormone test uk,0,,0,0,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
men's health check uk,10,,2.22,0.97,commercial,dropped,3,dropped,medium,ICP3 SEO confirmed dead,,,legacy,,,,,,
comprehensive blood test men uk,0,,,,commercial,dropped,3,dropped,medium,ICP3 dead,,,legacy,,,,,,
men's wellness check uk,0,,,,commercial,dropped,3,dropped,medium,ICP3 dead,,,legacy,,,,,,
preventative blood test men,0,,,,commercial,dropped,3,dropped,medium,ICP3 dead,,,legacy,,,,,,
blood test for men uk,0,,0,0,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
mens hormone health,0,,2.06,0.75,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
track blood test results over time,10,,,,informational,dropped,3,dropped,low,no demand; confirms F as GEO-only,,,legacy,,,,,,
blood test history app,0,,,,informational,dropped,3,dropped,low,no demand,,,legacy,,,,,,
blood test tracking app,10,,0,0.36,commercial,dropped,3,dropped,low,no demand,,,legacy,,,,,,
slow recovery after gym,0,,,,informational,dropped,3,dropped,medium,no demand surprised,,,legacy,,,,,,
why am i not recovering from training,0,,,,informational,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
muscle recovery blood test,0,,,,commercial,dropped,3,dropped,medium,no demand,,,legacy,,,,,,
muscle recovery,1000,56,0.96,1,commercial,dropped,3,dropped,medium,commercial; not Andro Prime angle,,,legacy,,,,,,
athlete blood test,90,,2.11,1,commercial,dropped,3,dropped,medium,athlete-niche near zero,,,legacy,,,,,,
sports blood test uk,90,,2.35,1,commercial,dropped,3,dropped,medium,athlete-niche,,,legacy,,,,,,
blood test for athletes,50,,2.12,0.91,commercial,dropped,3,dropped,medium,athlete-niche,,,legacy,,,,,,
performance blood test,70,,2.67,0.72,commercial,dropped,3,dropped,medium,athlete-niche,,,legacy,,,,,,
fitness blood test,50,,1.97,0.99,commercial,dropped,3,dropped,medium,athlete-niche,,,legacy,,,,,,
blood test for bodybuilding,30,,0,0,commercial,dropped,3,dropped,medium,athlete-niche,,,legacy,,,,,,
blood test for muscle growth,0,,0,0,commercial,dropped,3,dropped,medium,athlete-niche dead,,,legacy,,,,,,
blood test for crossfit,0,,,,commercial,dropped,3,dropped,medium,athlete-niche dead,,,legacy,,,,,,
blood test for training,0,,,,commercial,dropped,3,dropped,medium,athlete-niche dead,,,legacy,,,,,,
personal trainer blood test,0,,,,commercial,dropped,3,dropped,medium,no PT-recruitment SEO,,,legacy,,,,,,
pt recommended blood test,0,,,,commercial,dropped,3,dropped,medium,no PT-recruitment SEO,,,legacy,,,,,,
blood test affiliate programme uk,0,,,,navigational,dropped,3,dropped,medium,no PT-recruitment SEO,,,legacy,,,,,,
personal trainer affiliate uk,0,,,,navigational,trade,3,dropped,medium,for /partners/pt-affiliate/ LP target only,,,legacy,,,,,,
mens health affiliate,0,,0,0,navigational,trade,3,dropped,medium,/partners/pt-affiliate/ target,,,legacy,,,,,,
gym partnership,90,,1.61,0.17,navigational,trade,4,validated,medium,low vol; gym B2B,,,dfs,0,spoke,medium,,,csv
nutrition for personal trainers,30,0,2.32,0.44,informational,trade,3,validated,medium,PT-trade content seed,,,dfs,4,spoke,medium,,,csv
personal trainer cpd,50,1,2.14,0.62,informational,trade,3,validated,medium,PT-trade content seed,,,dfs,4,spoke,medium,,,csv
personal trainer nutrition advice,10,,0,0.33,informational,trade,4,validated,medium,PT-trade content seed,,,dfs,0,spoke,medium,,,csv
how often should i get a blood test,40,,0,0.33,informational,geo,4,geo-only,low,F.hub GEO target,,,dfs,1,commercial,low,,,csv
when should i get a blood test,10,,0,0.02,informational,geo,4,geo-only,low,F GEO target,,,dfs,1,commercial,low,,,csv
what should i do with my blood test results,0,,,,informational,geo,4,geo-only,low,F GEO target,,,dfs,1,commercial,low,,,csv
how often should men get bloods checked,0,,,,informational,geo,4,geo-only,low,F GEO target,,,dfs,0,spoke,low,,,csv
recommended blood tests for men,10,,0,0.99,informational,geo,4,geo-only,low,F GEO target,,,dfs,1,commercial,low,,,csv
which blood test should i get,10,,0,0.57,informational,geo,4,geo-only,low,F GEO target,,,dfs,1,commercial,low,,,csv
andro prime,10,,0,0.02,branded,brand,4,validated,low,brand baseline; small organic exists already,,,dfs,0,spoke,low,,,csv
andro prime reviews,0,,,,branded,brand,4,pending,low,build review page,,,dfs,0,spoke,low,,,csv
andro prime legit,0,,,,branded,brand,4,pending,low,build trust page,,,dfs,0,spoke,low,,,csv
andro prime vs medichecks,0,,,,comparison,programmatic-compare,2,pending,low,build comparison page,,,legacy,,,,,,
