keyword,keyword_type,cluster,primary_kit,also_relevant_kits,biomarker_rationale,routing_note,search_volume,difficulty,intent
cant get partner pregnant,situation,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,Male reproductive hormones,,,,
trying to conceive blood test male,situation,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,"FSH, LH, prolactin, testosterone",,,,
high prolactin men,condition,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,Prolactin raised suppresses testosterone/fertility,Prolactinoma screen,90,38,informational
prolactinoma,condition,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,Prolactin high; testosterone low; LH/FSH low,Signpost imaging if very high + headaches/vision,5400,18,informational
nipple discharge male,symptom,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,Prolactin excess,,,26,informational
FSH LH test men,biomarker,male-hormones,Male Fertility Test,Male Ultimate Hormones Check Test,FSH/LH discriminate testicular vs pituitary cause,'Why' markers - not standalone symptom entry,,,
why is my testosterone low,symptom,male-hormones,Male Ultimate Hormones Check Test,Male Fertility Test; Testosterone Test,"LH/FSH high=testicular, low=pituitary; prolactin, E2",Cause-finding needs the full axis,,,
full male hormone panel,navigational,male-hormones,Male Ultimate Hormones Check Test,Male Fertility Test; Free Testosterone & SHBG Test,"Testosterone, free T, SHBG, FAI, E2, LH, FSH, prolactin, DHEA-S, cortisol, thyroid, vit D",,,,
male hormone test,navigational,male-hormones,Male Ultimate Hormones Check Test,Testosterone Test; Male Fertility Test,Full endocrine panel,,,,informational
cortisol test,biomarker,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test; Male Ultimate Hormones Check Test,Morning cortisol,Test before 10am - timing microcopy,5400,6,informational
high cortisol,condition,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test,Elevated morning cortisol,,18100,23,informational
stress hormone test,condition,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test,Cortisol,,,,informational
adrenal fatigue,condition,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test; Male Ultimate Hormones Check Test,Cortisol (and DHEA-S on Ultimate),'Adrenal fatigue' non-clinical but high search,,55,informational
burnout blood test,situation,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test; Thyroid Function Test,Cortisol; thyroid confounder,,,,
tired but wired,symptom,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test,Cortisol dysregulation,,390,,informational
waking at 3am,symptom,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test,Cortisol rhythm,,390,16,informational
Addisons disease,condition,male-hormones,Cortisol (Stress) Test,Male Ultimate Hormones Check Test,Low morning cortisol,Signpost urgent care if unwell/collapsing,90,87,informational
low cortisol symptoms,symptom,male-hormones,Cortisol (Stress) Test,Hormonal Balance Test,Low cortisol,,,47,informational
Cushings syndrome,condition,male-hormones,Cortisol (Stress) Test,Male Ultimate Hormones Check Test,"Elevated cortisol, loss of rhythm",Screen only - clinical confirmation needed,,,
thyroid test,navigational,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test; Hormonal Balance Test,"TSH, Free T4, Free T3",,6600,6,informational
underactive thyroid,condition,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test,"TSH high, Free T4/T3 low",,,68,informational
hypothyroidism,condition,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test,"TSH high, low T4",,,64,informational
tired all the time and cold,symptom,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test; Vitamins & Minerals Complete Test,Hypothyroid pattern; vitamin D adjacency,,480,21,informational
unexplained weight gain male,symptom,male-hormones,Thyroid Function Test,Testosterone Test; Cortisol (Stress) Test; Diabetes (HbA1c) Test,"Hypothyroid, low T, high cortisol; metabolic",Broad symptom - route to full panel,,,
cant lose weight,symptom,male-hormones,Thyroid Function Test,Diabetes (HbA1c) Test; Testosterone Test,"Thyroid, blood sugar, testosterone",,880,36,informational
overactive thyroid,condition,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test,"TSH low, Free T4/T3 high",,,60,informational
hyperthyroidism,condition,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test,"TSH suppressed, high T4/T3",,40500,52,informational
losing weight heart racing,symptom,male-hormones,Thyroid Function Test,Thyroid Function & Autoimmune Test,Hyperthyroid pattern,,,,
Hashimotos,condition,male-hormones,Thyroid Function & Autoimmune Test,Thyroid Function Test,TPO + TG antibodies plus TSH/T4/T3,Autoimmune - antibody panel needed,,,
thyroid antibodies test,biomarker,male-hormones,Thyroid Function & Autoimmune Test,Thyroid Function Test,"TPO, TGAB antibodies",,,26,informational
thyroid symptoms but normal TSH,symptom,male-hormones,Thyroid Function & Autoimmune Test,Thyroid Function Test,Antibodies + Free T3/T4 catch what TSH alone misses,Key upsell from basic thyroid,,,
hormonal balance test,navigational,male-hormones,Hormonal Balance Test,Cortisol (Stress) Test; Thyroid Function Test,Cortisol + thyroid combined,,110,8,informational
always tired man,symptom,male-hormones,Male Ultimate Hormones Check Test,Testosterone Test; Thyroid Function Test; Iron Status Test; Vitamins & Minerals Complete Test,"Testosterone, thyroid, cortisol, vitamin D; plus iron/B12 off-cluster",Top-of-funnel fatigue - route to broad panel,,,
why am I so tired,symptom,male-hormones,Male Ultimate Hormones Check Test,Thyroid Function Test; Anaemia Test; Vitamins & Minerals Complete Test,"Multi-cause: hormones, thyroid, anaemia, nutrition",Fatigue umbrella - spans clusters,6600,28,informational
tiredness blood test,navigational,male-hormones,Male Ultimate Hormones Check Test,Male Total Health Check Test; Anaemia Test; Thyroid Function Test,Broad hormonal + nutritional fatigue workup,,720,,informational
overtraining blood test,situation,male-hormones,Cortisol (Stress) Test,Testosterone Test; Male Ultimate Hormones Check Test,"Cortisol up, testosterone suppressed, T:C ratio",,,,
poor recovery training,symptom,male-hormones,Cortisol (Stress) Test,Male Ultimate Hormones Check Test,"Cortisol, testosterone, vitamin D",,,,
hair loss and tired,symptom,male-hormones,Thyroid Function & Autoimmune Test,Testosterone Test; Vitamins & Minerals Complete Test,Thyroid shedding; low T body-hair loss; low ferritin/vit D,Scalp MPB is genetic - manage expectations,210,13,informational
losing body hair,symptom,male-hormones,Testosterone Test,Male Ultimate Hormones Check Test,Low androgen status,,110,31,informational
vitamin D and testosterone,biomarker,male-hormones,Vitamins & Minerals Complete Test,Male Ultimate Hormones Check Test; Testosterone Test,Vitamin D associates with testosterone and energy,Cheap high-intent entry point,320,36,informational
high cholesterol,condition,cardiometabolic,Cholesterol Test,Cholesterol & hs-CRP Test; Core Lifestyle Test; Male Total Health Check Test,"Total cholesterol, LDL, HDL, non-HDL, triglycerides",Hub term,33100,58,informational
check my cholesterol,navigational,cardiometabolic,Cholesterol Test,Cholesterol & hs-CRP Test; Core Lifestyle Test,Full lipid profile,,,,
bad cholesterol LDL,biomarker,cardiometabolic,Cholesterol Test,Cholesterol & hs-CRP Test,"LDL, non-HDL",,,99,informational
high triglycerides,biomarker,cardiometabolic,Cholesterol Test,Damage Control Test; Core Lifestyle Test,Triglycerides,,2400,27,informational
familial hypercholesterolaemia,condition,cardiometabolic,Cholesterol Test,Cholesterol & hs-CRP Test,Very high LDL/total cholesterol,Signpost genetics if strong family history,,36,informational
cholesterol test on statins,situation,cardiometabolic,Cholesterol Test,Core Lifestyle Test; Damage Control Test,Lipid panel for statin monitoring,,,,
cholesterol check over 40 men,situation,cardiometabolic,Cholesterol Test,Male Total Health Check Test,Lipid profile,,,,
xanthelasma cholesterol,symptom,cardiometabolic,Cholesterol Test,Cholesterol & hs-CRP Test,Yellow eyelid deposits linked to high lipids,,,,
heart disease risk,condition,cardiometabolic,Cholesterol & hs-CRP Test,Artery Health Test; Male Total Health Check Test; Cholesterol Test,Lipids + hs-CRP for cardiovascular inflammation,,,68,informational
heart attack risk test,condition,cardiometabolic,Cholesterol & hs-CRP Test,Artery Health Test; Cardiovascular Risk (hs-CRP) Test,Lipids + hs-CRP + Lp-PLA2,,,,informational
heart health blood test,navigational,cardiometabolic,Cholesterol & hs-CRP Test,Artery Health Test; Male Total Health Check Test,"Lipids, hs-CRP",,140,23,informational
heart MOT,slang,cardiometabolic,Male Total Health Check Test,Cholesterol & hs-CRP Test; Artery Health Test,"Lipids, hs-CRP, plus organ panels",,40,32,informational
family history heart disease,situation,cardiometabolic,Cholesterol & hs-CRP Test,Artery Health Test,Lipids + hs-CRP; Lp-PLA2 for hidden risk,,110,17,informational
chest pain on exertion,symptom,cardiometabolic,Cholesterol & hs-CRP Test,Artery Health Test,Cardiac risk markers,Signpost urgent care for acute/severe chest pain,,51,informational
stroke risk test,condition,cardiometabolic,Artery Health Test,Cholesterol & hs-CRP Test; Cardiovascular Risk (hs-CRP) Test,"Lp-PLA2 (carotid atherosclerosis), hs-CRP, lipids",,,48,informational
clogged arteries,slang,cardiometabolic,Artery Health Test,Cholesterol & hs-CRP Test,Lp-PLA2 reflects plaque-level inflammation directly,,,69,informational
blocked arteries test,condition,cardiometabolic,Artery Health Test,Cholesterol & hs-CRP Test,"Lp-PLA2, lipids",,,,
atherosclerosis,condition,cardiometabolic,Artery Health Test,Cholesterol & hs-CRP Test,"Lp-PLA2 (PLAC), hs-CRP, LDL",,18100,65,informational
family history heart disease normal cholesterol,situation,cardiometabolic,Artery Health Test,Cardiovascular Risk (hs-CRP) Test,Lp-PLA2 detects vascular risk despite normal lipids,'Beyond cholesterol' wedge - flagship Lp-PLA2 hook,,,
hidden heart risk test,situation,cardiometabolic,Artery Health Test,Cardiovascular Risk (hs-CRP) Test; Cholesterol & hs-CRP Test,"Lp-PLA2, hs-CRP beyond standard lipids",,,,
leg pain walking claudication,symptom,cardiometabolic,Artery Health Test,Cholesterol & hs-CRP Test,Peripheral arterial disease - vascular inflammation,,,,
CRP test,biomarker,cardiometabolic,Inflammation (CRP) Test,Inflammation Control Test; Cardiovascular Risk (hs-CRP) Test,C-reactive protein,,,12,informational
inflammation blood test,condition,cardiometabolic,Inflammation (CRP) Test,Inflammation Control Test,CRP / hs-CRP,,,36,informational
hs-CRP test,biomarker,cardiometabolic,Cardiovascular Risk (hs-CRP) Test,Inflammation Control Test; Cholesterol & hs-CRP Test,High-sensitivity CRP for low-grade/cardiac inflammation,,480,5,informational
chronic inflammation test,condition,cardiometabolic,Inflammation Control Test,Cardiovascular Risk (hs-CRP) Test; Inflammation (CRP) Test,hs-CRP,,30,51,informational
am I inflamed,symptom,cardiometabolic,Inflammation (CRP) Test,Inflammation Control Test,CRP,,,,
metabolic syndrome,condition,cardiometabolic,Damage Control Test,Lifestyle Control Test; Lucio Metabolic Essentials Test,HbA1c + triglycerides + HDL cluster,,9900,56,informational
metabolic health check,navigational,cardiometabolic,Lucio Metabolic Essentials Test,Damage Control Test; Male Total Health Check Test,"Liver, kidney, FBC; metabolic markers",,10,,informational
belly fat wont shift,symptom,cardiometabolic,Damage Control Test,Diabetes (HbA1c) Test; Testosterone Test,"HbA1c, lipids; low T / insulin resistance",Crosses to hormone cluster,,,
am I diabetic,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test; Lifestyle Control Test; Male Total Health Check Test,HbA1c,,,63,informational
do I have diabetes,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c,,1000,78,informational
blood sugar test,biomarker,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c (3-month average glucose),,5400,62,informational
HbA1c test,biomarker,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test; Lifestyle Control Test,HbA1c,,18100,22,informational
always thirsty peeing a lot,symptom,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,Classic hyperglycaemia symptoms - HbA1c,,,,
tingling feet numbness,symptom,cardiometabolic,Diabetes (HbA1c) Test,Vitamins & Minerals Complete Test,Diabetic neuropathy (HbA1c); or B12 deficiency,B12 adjacency,,,
prediabetes,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test; Lifestyle Control Test,HbA1c 42-47 mmol/mol,,9900,47,informational
am I prediabetic,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c,,,69,informational
borderline diabetes,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c borderline range,,,40,informational
insulin resistance test,condition,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c (note: misses early insulin resistance),HbA1c limitation - flag for content,1900,,informational
sugar crashes after eating,symptom,cardiometabolic,Diabetes (HbA1c) Test,Damage Control Test,HbA1c / glucose regulation,,,,
fatty liver,condition,cardiometabolic,Liver Function Test,Core Lifestyle Test; Damage Control Test; Lucio Metabolic Essentials Test,"ALT, GGT raised; AST; metabolic drivers",NAFLD/MASLD - early stage is silent,27100,69,informational
fatty liver symptoms,symptom,cardiometabolic,Liver Function Test,Core Lifestyle Test,"ALT, GGT, AST",,18100,41,informational
do I have a fatty liver,condition,cardiometabolic,Liver Function Test,Damage Control Test,"ALT, GGT",,,,
liver function test,navigational,cardiometabolic,Liver Function Test,Core Lifestyle Test; Lucio Metabolic Essentials Test,"ALT, ALP, GGT, bilirubin, albumin, total protein",,,59,informational
signs of liver damage,symptom,cardiometabolic,Liver Function Test,Core Lifestyle Test,ALT/AST hepatocellular; ALP/GGT cholestatic; bilirubin,,,54,informational
raised ALT meaning,biomarker,cardiometabolic,Liver Function Test,Core Lifestyle Test,ALT elevation,Result-interpretation query,70,17,informational
yellow eyes jaundice,symptom,cardiometabolic,Liver Function Test,Hepatitis B & C Test,Bilirubin high,Signpost GP; consider hepatitis,,35,informational
pain under right ribs,symptom,cardiometabolic,Liver Function Test,Core Lifestyle Test,Liver enzymes,,,,
liver test after drinking,situation,cardiometabolic,Liver Function Test,Chronic Alcohol Use Test; Core Lifestyle Test,"GGT, AST classic alcohol markers",Chronic Alcohol Use adds PEth,,,
is my liver damaged from drinking,situation,cardiometabolic,Chronic Alcohol Use Test,Liver Function Test,LFTs + PEth (chronic alcohol biomarker),,,,
kidney function test,navigational,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test; Male Total Health Check Test,"Creatinine, urea, eGFR",Full Kidney Function Test adds electrolytes,,47,informational
are my kidneys ok,condition,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,"Creatinine, eGFR, urea",,,,
chronic kidney disease,condition,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,"Creatinine, eGFR, urea + electrolytes",CKD largely silent,18100,69,informational
eGFR meaning,biomarker,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,eGFR filtration measure,Result-interpretation query,1900,19,informational
high creatinine,biomarker,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,Creatinine,Gym/creatine users often search this,,43,informational
foamy urine swollen ankles,symptom,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,Kidney filtration markers + electrolytes,,,,
electrolyte imbalance,condition,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,"Sodium, potassium, chloride",,4400,42,informational
muscle cramps and twitching,symptom,cardiometabolic,Kidney Function Test,Vitamins & Minerals Complete Test,Electrolytes; or magnesium/calcium,Magnesium adjacency,70,48,informational
protein powder kidney check,situation,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,"Creatinine, eGFR, urea",,,,
Mounjaro blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, hs-CRP, LFTs, kidney; Advanced adds HbA1c/FBC/thyroid/iron",GLP-1 is the natural hub product,50,,informational
Wegovy blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, LFTs, kidney, hs-CRP",,,,
Ozempic blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, LFTs, kidney, hs-CRP",,,,
blood test before Mounjaro,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Baseline lipids, LFTs, kidney, HbA1c",,,,
weight loss injection blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,GLP-1 monitoring panel,,,,
skinny jab blood test,slang,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,GLP-1 monitoring panel,,,,
tirzepatide monitoring,situation,cardiometabolic,GLP-1 Advanced Nurse Health Check Test,GLP-1 Essential Wellness Test,"Broad monitoring: lipids, HbA1c, LFTs, kidney, FBC, thyroid, iron",,10,,informational
on Mounjaro 3 months blood test,situation,cardiometabolic,GLP-1 Advanced Nurse Health Check Test,GLP-1 Essential Wellness Test,Periodic monitoring panel,,,,
full blood count test,navigational,blood-nutrition-bone,Full Blood Count Test,Baseline Health Test; Immune Health Test,"FBC: RBC, Hb, WBC differential, platelets, indices",,,46,informational
complete blood count,navigational,blood-nutrition-bone,Full Blood Count Test,Baseline Health Test,FBC,,,50,informational
am I anaemic,condition,blood-nutrition-bone,Anaemia Test,Full Blood Count Test; Iron Status Test,FBC + iron studies + B12 + folate,Comprehensive anaemia workup,,,
anaemia test,condition,blood-nutrition-bone,Anaemia Test,Full Blood Count Test,"FBC, ferritin, iron, B12, folate",,,43,informational
iron deficiency,condition,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,"Ferritin low, transferrin saturation low, TIBC high",,,55,informational
low iron symptoms,symptom,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin, serum iron, transferrin saturation",,,56,informational
ferritin test,biomarker,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,Ferritin (iron stores),"Map by direction: low=deficiency, high=overload",2900,7,informational
low ferritin,biomarker,blood-nutrition-bone,Iron Status Test,Anaemia Test,Ferritin low,,4400,32,informational
why am I always tired,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Vitamins & Minerals Complete Test; Thyroid Function Test; Male Ultimate Hormones Check Test,"Iron, B12, folate, vitamin D, thyroid, testosterone",Fatigue umbrella - spans clusters,14800,21,informational
tired all the time no energy,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Vitamins & Minerals Complete Test,"FBC, iron, B12, folate, vitamin D",TATT workup,1300,64,informational
breathless walking upstairs,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Full Blood Count Test,Low haemoglobin,,,,
restless legs at night,symptom,blood-nutrition-bone,Iron Status Test,Anaemia Test,Low ferritin associated with restless legs,,5400,30,informational
vegan iron deficiency,situation,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,"Ferritin, iron studies; plus B12",,,35,informational
athlete low ferritin,situation,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin, transferrin saturation",,,,
B12 deficiency,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test; Nutritional Assessment Test,"Active B12, folate; macrocytic FBC",,60500,44,informational
low B12 symptoms,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test,Active B12,,9900,36,informational
tingling hands and feet,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test; Diabetes (HbA1c) Test,B12 deficiency; or diabetic neuropathy,Dual cause - B12 or diabetes,,47,informational
vegan B12 test,situation,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,"Active B12, folate",,10,,informational
folate deficiency,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test,Serum/red cell folate,,,53,informational
iron overload haemochromatosis,condition,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin high, transferrin saturation high",Map by direction - high iron,,,
high ferritin,biomarker,blood-nutrition-bone,Iron Status Test,Liver Function Test,Ferritin high (iron overload or inflammation),Signpost HFE genetics if very high,2900,7,informational
low vitamin D,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,Vitamin D (25-OH),,5400,31,informational
vitamin D test,biomarker,blood-nutrition-bone,Vitamins & Minerals Complete Test,Nutritional Assessment Test,Vitamin D (25-OH),Cheap high-intent entry point,2400,8,informational
vitamin D deficiency symptoms,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Nutritional Assessment Test,Vitamin D,,,23,informational
aching bones and tired,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Bone Health (Osteoporosis) Test,Vitamin D; bone panel,,,,
vitamin and mineral test,navigational,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,"Vit D, B12, folate, ferritin, calcium, magnesium",,210,,informational
